Label,Category,Item,Total clicks,Contact ratio,Total contacts
kan-ik-een-vvvbon-inwisselen-bij-coolblue,Betalen,Betaalmethodes,75,"46,60%",14
waar-is-mijn-pakketje,Leveren en installeren,Bezorgstatus opvragen,74,"70,60%",47
que-faire-si-je-n-ai-pas-recu-ma-commande,Livraison et installation,Commande retardée ou non livrée,72,"84,10%",50
hoe-kan-ik-mijn-bestelling-wijzigen,Leveren en installeren,Levering wijzigen,68,"86,40%",49
waar-vind-ik-of-een-product-op-voorraad-is-in-een-winkel,Winkels,Voorraad en assortiment,65,"25,30%",5
hoe-maak-ik-een-zakelijk-account-aan-,Coolblue Zakelijk,Zakelijk bestellen,62,"18,30%",6
ik-wil-mijn-retour-annuleren,Ruilen en retourneren,Retournering of omruiling wijzigen,62,"86,90%",50
was-muss-ich-tun-wenn-ich-meine-bestellung-nicht-erhalten-habe,Liefern und installieren,Bestellung verspätet oder nicht geliefert,62,"95,40%",37
kunnen-jullie-mijn-pakket-vandaag-nog-bezorgen,Bezorgen en installeren,Bezorg- en installatieservices,62,"57,40%",23
ou-trouver-ma-facture,Autre,,62,"89,10%",36
nemen-jullie-mijn-oude-televisie-mee,Bezorgen en installeren,Bezorg- en installatieservices,61,"21,10%",6
wie-melde-ich-online-meine-reparatur-an,Garantie und Reparatur,Reparatur anmelden,61,"49,00%",11
waar-is-mijn-pakketje,Overig,,60,"86,20%",41
hoe-meld-ik-online-mijn-retour-aan,Ruilen en retourneren,Retourvoorwaarden,60,"22,00%",7
kan-ik-achteraf-betalen,Betalen,Betaalmethodes,59,"17,90%",6
ik-heb-geen-factuur,,Factuur nasturen,58,"29,70%",10
kan-ik-rechtstreeks-contact-opnemen-met-de-winkels,Winkels,Overig,57,"41,30%",9
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Overig,,57,"146,30%",48
kan-ik-mijn-bestelling-annuleren,Bestellen,Bestelling annuleren,57,"42,50%",19
que-faire-si-ma-livraison-a-ete-retardee,Livraison et installation,Commande retardée ou non livrée,57,"90,60%",43
hoe-kan-ik-mijn-shoptegoed-toepassen,Betalen,Kortingen en tegoeden,57,"44,80%",23
tot-wanneer-is-mijn-coolbluetegoed-geldig,,,56,"8,80%",4
wat-je-verder-nog-moet-weten-over-onze-extra-services,Leveren en installeren,Bezorg- en installatieservices,55,"30,00%",9
mon-produit-ne-marche-pas-bien-que-faire,Conseil et assistance,Autre,54,"74,20%",19
wat-als-ik-dubbel-betaald-heb,Betalen,Betaling mislukt of geweigerd,53,"68,70%",30
hoe-wordt-de-prijs-van-een-tweedekans-product-bepaald,Bestellen,Prijs van producten,52,"49,50%",16
wat-als-ik-geen-terugbetaling-heb-ontvangen,Betalen,Terugbetaling van annulering,51,"90,90%",35
was-du-sonst-noch-ueber-unsere-zusaetzlichen-dienstleistungen-wissen-solltest,Liefern und installieren,Liefer- und Anschlussservices,51,"26,60%",4
kan-ik-producten-bestellen-zonder-btw,Coolblue Zakelijk,Zakelijk bestellen,51,"14,70%",5
wo-ist-mein-paket,Liefern und installieren,Bestellung verspätet oder nicht geliefert,50,"95,20%",41
hoe-meld-ik-online-mijn-reparatie-aan,Overig,Reparatie aanmelden,50,"82,30%",30
kan-ik-mijn-product-retourneren,Ruilen en retourneren,Retour onjuist afgehandeld,49,"103,60%",35
what-should-i-do-if-i-have-not-received-my-package,Delivery and installation,Order delayed or not delivered,49,"123,80%",51
wie-melde-ich-online-meine-retoure-an,Umtausch und Rückgabe,Retoure oder Umtausch anmelden,49,"54,80%",16
wo-kann-ich-meine-rechnung-finden,Sonstiges,,49,"44,20%",11
ou-est-mon-paquet,Livraison et installation,Commande retardée ou non livrée,47,"86,70%",37
hoe-lang-duurt-het-voordat-ik-mijn-nieuwe-product-ontvang,Ruilen en retourneren,Retourstatus,47,"104,50%",48
hoe-ontvang-ik-mijn-terugbetaling,Betalen,Terugbetaling van annulering,46,"75,50%",27
waar-kan-ik-de-status-van-mijn-terugbetaling-vinden,,,46,"56,50%",22
wat-als-mijn-reparatie-niet-onder-de-fabrieksgarantie-valt,Garantie en reparatie,Kosten van reparatie,45,"85,80%",25
mijn-bestelling-is-vertraagd-kan-ik-mijn-bestelling-alsnog-vandaag-ontvangen,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,45,"72,70%",33
ik-wil-mijn-adres-wijzigen,Bestellen,Overig,45,"71,80%",25
hoe-weet-ik-wanneer-mijn-bestelling-klaarligt-in-de-winkel,Winkels,Bestelling ophalen,45,"46,10%",17
hoeveel-garantie-heb-ik-op-mijn-product,Overig,Garantievoorwaarden,44,"64,70%",21
kan-ik-mijn-product-retourneren-in-de-winkel,Ruilen en retourneren,Retour of omruiling aanmelden,44,"25,50%",9
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Overig,Hulp bij installatie en gebruik,44,"132,70%",46
ik-heb-geen-factuur,Bestellen,Overig,44,"59,90%",19
comment-payer-avec-des-ecocheques,Payer,Méthodes de payement,44,"30,80%",5
how-do-i-register-my-repairs-online,Warranty and repair,Register a repair,43,"52,60%",15
comment-enregistrer-mon-produit-a-reparer-en-ligne,Garantie et réparation,Signaler une réparation,43,"39,90%",11
how-much-warranty-do-i-have-on-my-product,Warranty and repair,Warranty conditions,43,"38,30%",13
koennt-ihr-mir-bei-der-einrichtung-und-verwendung-meines-produkts-helfen,Beratung und Unterstützung,Hilfe bei Installation und Verwendung,42,"81,10%",15
hoeveel-garantie-heb-ik-op-mijn-product,Garantie en reparatie,Reparatie aanmelden,41,"48,90%",16
kan-ik-het-bezorgmoment-van-mijn-bestelling-wijzigen,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,41,"87,90%",36
kann-ich-die-lieferadresse-meiner-bestellung-noch-aendern,Liefern und installieren,Lieferung ändern,41,"77,30%",29
je-veux-changer-mon-adresse,Livraison et installation,Modifier la livraison,41,"97,40%",36
wo-ist-mein-paket,Sonstiges,,41,"85,90%",27
ma-commande-a-ete-livree-mais-je-n-ai-pas-recu-tous-les-produits,Livraison et installation,Commande incomplète ou endommagée,41,"74,60%",24
nemen-jullie-mijn-oude-apparaat-mee,Leveren en installeren,Bezorg- en installatieservices,40,"70,00%",16
wat-zijn-de-algemene-voorwaarden-voor-zakelijke-klanten,Coolblue Zakelijk,Zakelijk bestellen,40,"14,90%",4
Wat-is-er-anders-aan-Telefoon-Tablet-en-Apple-Accessoires-reparaties?,Garantie en reparatie,"Telefoon-, iPad- en Apple accessoires",40,"68,20%",17
gelden-acties-en-promoties-ook-op-tweedekans,Bestellen,Acties op producten,39,"24,30%",5
mijn-ideal-betaling-is-mislukt,Betalen,Overig,37,"54,80%",16
kan-ik-rechtstreeks-contact-opnemen-met-de-winkels,Winkels,Openingstijden en bereikbaarheid,36,"47,80%",4
what-if-my-delivery-is-delayed,Delivery and installation,Order delayed or not delivered,36,"65,00%",20
ist-meine-reparatur-kostenlos,Garantie und Reparatur,Garantiebedingungen,36,"107,80%",17
my-product-doesn-t-work-well-what-can-i-do,Advice and support,Other,35,"71,20%",11
wat-als-mijn-product-beschadigd-is-geleverd,Leveren en installeren,Onvolledige of beschadigde bestelling,35,"38,30%",11
wat-als-ik-dubbel-heb-betaald,Betalen,Betaling mislukt of geweigerd,35,"55,00%",18
kan-ik-mijn-bestelling-ophalen,Winkels,Bestelling ophalen,34,"49,60%",11
is-reparatie-altijd-gratis,Garantie en reparatie,Reparatie aanmelden,34,"62,40%",14
kan-ik-mijn-bestelling-wijzigen,Bestellen,Overig,34,"57,80%",13
wie-kann-ich-bezahlen,Bezahlen,Zahlungsarten,34,"45,80%",4
wat-is-shoptegoed,Betalen,Kortingen en tegoeden,34,"18,60%",5
is-een-cashback-mogelijk-op-een-tweedekansproduct,Bestellen,Acties op producten,34,"6,20%",1
kan-ik-op-rekening-bestellen,Coolblue Zakelijk,Betalen,33,"23,70%",6
why-was-my-credit-card-payment-declined,Payment,Payment failed or declined,33,"17,90%",4
kan-ik-mijn-bestelling-annuleren,Bestellen,Bestelling wijzigen,32,"83,20%",24
was-tun-wenn-ich-mit-bancontact-bezahlt-habe-aber-keine-bestellbestaetigung-erhalten-habe,,Bestellbestätigung nicht erhalten,32,"54,80%",14
en-hoe-snel-word-ik-terugbetaald-na-retourneren,Ruilen en retourneren,Retourstatus,32,"113,90%",33
bon-a-savoir-sur-nos-services-supplementaires,Livraison et installation,Services de livraison et d'installation,32,"25,10%",5
kan-iemand-anders-mijn-bestelling-komen-ophalen-in-de-winkel,Winkels,Bestelling ophalen,32,"29,20%",7
hoe-vraag-ik-een-cashback-aan,Betalen,Cashback en productacties,32,"39,90%",9
extra-grote-producten-aanmelden-reparatie,Overig,Reparatie aanmelden,32,"112,90%",27
ik-heb-geen-factuur,Betalen,Overig,32,"58,20%",13
ich-moechte-meine-retoure-aendern,Umtausch und Rückgabe,Rückgabe oder Umtausch ändern,32,"93,60%",26
hoeveel-garantie-heb-ik-op-mijn-product,Garantie en reparatie,Overig,31,"71,50%",14
waar-is-mijn-pakketje,Overig,Bezorgstatus opvragen,31,"141,10%",38
hoe-werkt-gratis-bezorging,Bezorgen en installeren,Overig,31,"24,30%",6
i-want-to-change-my-address,Delivery and installation,Change delivery,30,"76,70%",21
hoeveel-garantie-heb-ik-op-mijn-product,Ruilen en retourneren,Garantievoorwaarden,30,"44,50%",7
wat-als-ik-mijn-verzendlabels-niet-kan-printen,,Overig,30,"112,90%",25
kann-ich-mein-produkt-zurueckzugeben,Umtausch und Rückgabe,Rückgabebedingungen,30,"78,60%",14
waar-kan-ik-mijn-factuur-vinden,Betalen,Overig,30,"51,50%",12
hoe-meld-ik-online-mijn-retour-aan,Ruilen en retourneren,,30,"51,10%",12
wat-gebeurt-er-met-mijn-overgebleven-shoptegoed,Betalen,Kortingen en tegoeden,29,"43,30%",12
comment-modifier-ma-commande,Livraison et installation,Modifier la livraison,29,"86,70%",23
wat-moet-ik-doen-om-mijn-product-te-retourneren,Garantie en reparatie,Reparatieproces,29,"56,70%",14
warum-wurde-meine-kreditkartenzahlung-abgelehnt,Bezahlen,Zahlung fehlgeschlagen oder abgelehnt,28,"64,70%",8
hoe-snel-wordt-ik-terugbetaald-na-retourneren,Betalen,Terugbetaling van annulering,28,"58,40%",11
waar-kan-ik-mijn-factuur-vinden,Overig,Overig,28,"109,50%",19
est-ce-que-je-peux-payer-avec-des-ecocheques,Payer,Méthodes de payement,28,"35,00%",3
kann-ich-besonders-grosse-produkte-wie-haushaltsgrossgeraete-und-kuechengeraete-online-zur-reparatur-anmelden,Garantie und Reparatur,Reparatur anmelden,28,"74,40%",9
kan-ik-extra-grote-producten-aanmelden-voor-retour,Ruilen en retourneren,Retour of omruiling aanmelden,28,"95,50%",19
register-extra-large-products-for-repair,Warranty and repair,Register a repair,27,"65,60%",12
ist-mein-produkt-vorraetig,Bestellen,Produktvorrat,27,"0,00%",0
can-you-help-me-with-installing-and-using-my-product,Advice and support,Help with installation and use,27,"110,50%",15
quelle-est-la-duree-de-la-garantie-sur-mon-produit,Garantie et réparation,Conditions de garantie,27,"30,00%",4
i-cant-use-my-coolbluecredit-what-now,Payment,Discounts and credits,27,"32,00%",8
kan-ik-een-zakelijke-bestelling-ophalen-in-de-winkel-,Coolblue Zakelijk,Zakelijk bestellen,27,"29,60%",5
was-ist-der-status-meiner-ruecksendung,Umtausch und Rückgabe,Rückgabestatus,27,"80,50%",18
quels-sont-les-differents-modes-de-paiement,Payer,Méthodes de payement,27,"16,80%",1
hoe-meld-ik-online-mijn-reparatie-aan,Garantie en reparatie,Reparatieproces,27,"57,70%",12
wie-melde-ich-online-meine-reparatur-an,Garantie und Reparatur,Garantiebedingungen,27,"74,70%",11
how-do-i-register-my-return-online,Exchange and return,Register return or exchange,26,"33,60%",8
wie-kann-ich-meine-bestellung-aendern,Liefern und installieren,Lieferung ändern,26,"79,10%",17
waar-hebben-jullie-winkels,Winkels,Openingstijden en bereikbaarheid,26,"40,80%",4
wat-gebeurt-er-als-ik-niet-thuis-ben,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,26,"94,90%",23
how-can-I-use-my-personal-discount,Payment,Discounts and credits,26,"6,60%",2
mijn-bestelling-is-geleverd-maar-ik-heb-niet-alle-producten-ontvangen,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,26,"76,70%",18
das-produkt-das-ich-kaufen-moechte-ist-teurer-geworden-was-jetzt,Bestellen,Preis der Produkte,26,"79,20%",9
hoe-meld-ik-online-mijn-reparatie-aan,Advies en ondersteuning,Overig,25,"97,90%",18
kann-ich-mein-produkt-bei-coolblue-reparieren-lassen,Garantie und Reparatur,Garantiebedingungen,25,"134,10%",15
wie-kann-ich-mit-paypal-bezahlen,Bezahlen,Zahlungsarten,25,"45,30%",4
installeren-jullie-mijn-nieuwe-televisie-voor-me,Leveren en installeren,Bezorg- en installatieservices,25,"52,00%",8
kan-ik-mijn-toestel-in-de-winkel-laten-repareren,Garantie en reparatie,"Telefoon-, iPad- en Apple accessoires",25,"83,90%",12
wat-als-heb-betaald-met-bancontact-maar-geen-orderbevestiging-heb-ontvangen,Betalen,Betaling mislukt of geweigerd,25,"28,70%",7
wo-ist-mein-paket,Liefern und installieren,Lieferstatus anfordern,24,"80,50%",14
wat-als-ik-geen-factuur-heb-ontvangen,Betalen,Factuur nasturen,24,"27,30%",5
nehmt-ihr-mein-altgeraet-mit,Liefern und installieren,Liefer- und Anschlussservices,24,"92,40%",10
can-i-change-my-order,Delivery and installation,Change delivery,23,"63,90%",15
how-does-it-work-if-you-order-kitchen-appliances-with-extra-services,,Delivery and installation services,23,"28,70%",5
kann-ich-besonders-grosse-produkte-wie-haushaltsgrossgeraete-und-kuechengeraete-online-zurueckgeben,Umtausch und Rückgabe,Retoure oder Umtausch anmelden,22,"53,30%",6
ou-est-mon-paquet,Livraison et installation,Demander le statut de livraison,22,"89,90%",15
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Advies en ondersteuning,Hulp bij installatie en gebruik,22,"64,00%",9
how-can-i-pay,Payment,Payment methods,22,"0,00%",0
kan-ik-mijn-bestelling-op-afspraak-laten-leveren,Leveren en installeren,Overig,22,"55,80%",9
est-ce-que-vous-pouvez-m-aider-pour-l-installation-et-l-utilisation-de-mon-produit,Conseil et assistance,Aide avec l'installation et l'utilisation,22,"94,60%",10
mijn-pakketje-ligt-nog-niet-klaar-in-de-winkel-wat-kan-ik-doen,Winkels,Bestelling ophalen,22,"60,00%",10
kann-ich-im-nachhinein-bezahlen,Bezahlen,Zahlungsarten,22,"21,30%",1
my-order-was-delivered-but-i-didnt-receive-all-products,Delivery and installation,Incomplete or damaged order,21,"110,90%",18
is-my-product-in-stock,Order,Stock of products,21,"67,10%",9
est-ce-que-peux-enregistrer-des-produits-très-volumineux-en-ligne,Garantie et réparation,Signaler une réparation,21,"44,80%",6
mon-track-trace-indique-que-mon-paquet-a-ete-livre-mais-je-n-ai-rien-recu-comment-est-ce-possible,Livraison et installation,Commande retardée ou non livrée,21,"75,60%",11
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Garantie en reparatie,Overig,21,"107,40%",18
moet-ik-een-afspraak-maken,,"Telefoon-, iPad- en Apple accessoires",21,"16,60%",1
what-is-the-status-of-my-return,Exchange and return,Return status,21,"48,60%",9
wat-voor-soort-garantie-heb-ik,Overig,Overig,21,"94,90%",14
hoe-meld-ik-online-mijn-retour-aan,Ruilen en retourneren,Retourproces,21,"42,80%",7
which-return-options-do-I-have,Exchange and return,Return process,20,"14,00%",2
how-soon-will-i-receive-a-refund-after-return,,Return status,20,"135,90%",24
wat-moet-ik-doen-om-mijn-product-te-retourneren,Overig,,20,"68,10%",9
est-ce-que je peux-payer-avec-des-eco-cheques,Payer,Méthodes de payement,20,"34,10%",3
ik-ben-niet-tevreden-over-de-bezorger-waar-kan-ik-mijn-ei-kwijt,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,20,"85,40%",16
ou-est-mon-paquet,Autre,,20,"80,40%",11
hoe-meld-ik-online-mijn-retour-aan,Overig,Retour of omruiling aanmelden,20,"99,40%",15
moet-ik-op-voorhand-betalen-als-ik-een-bestelling-wil-ophalen-in-de-winkel,Winkels,Bestelling ophalen,20,"41,10%",6
kan-ik-mijn-bestelling-wijzigen,Bestellen,Bestelling annuleren,20,"54,10%",8
what-if-i-paid-with-ideal-but-havent-received-an-order-confirmation-yet,Order,No order confirmation received,19,"67,90%",12
welche-ruecksendeoptionen-habe-ich,Umtausch und Rückgabe,Rückgabeprozess,19,"93,80%",12
bekomme-ich-nach-der-rueckgabe-den-vollstaendigen-kaufbetrag-zurueck,,Retoure falsch bearbeitet,19,"81,70%",16
how-can-i-change-or-cancel-my-return,Exchange and return,Change return or exchange,19,"67,40%",11
hoe-lang-duurt-mijn-reparatie-in-de-winkel,Garantie en reparatie,"Telefoon-, iPad- en Apple accessoires",19,"56,80%",6
hoe-kan-ik-mijn-bestelling-wijzigen,Bestellen,Bestelling wijzigen,19,"91,00%",15
op-welke-manieren-kan-in-betalen-als-zakelijke-klant,Coolblue Zakelijk,Betalen,19,"8,40%",1
est-ce-que-je-peux-retourner-mon-produit,Échange et retour,Conditions de retour,18,"96,40%",14
will-you-take-my-old-appliance-with-you,Delivery and installation,Delivery and installation services,18,"29,10%",3
quel-est-le-statut-de-mon-retour,Échange et retour,Statut du processus de retour,18,"66,30%",11
how-do-i-use-my-coolbluecredit,Payment,Discounts and credits,18,"12,80%",2
